window,time,baseline,method,alpha,history_w,distance_from_snapshot,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline
fold_2,2170,exp016_static_strict_oof_proxy,momentum,0.15,20,225,0.09819857557731768,0.11668850119091807,0.018489925613600397,0.9853561379993337
fold_2,2170,exp016_static_strict_oof_proxy,shuffled,0.05,20,225,0.09819857557731768,0.10098173678291461,0.0027831612055969346,0.9986455388303553
fold_2,2170,exp016_static_strict_oof_proxy,shuffled,0.1,20,225,0.09819857557731768,0.10301927393161647,0.004820698354298797,0.994084498663174
fold_2,2170,exp016_static_strict_oof_proxy,shuffled,0.15,20,225,0.09819857557731768,0.10530130519003385,0.0071027296127161715,0.985230104532955
fold_2,2171,exp016_static_strict_oof_proxy,momentum,0.05,20,226,0.07135183866642214,0.07650175131707002,0.005149912650647875,0.9986162748417876
fold_2,2171,exp016_static_strict_oof_proxy,momentum,0.1,20,226,0.07135183866642214,0.08209347040540813,0.010741631738985985,0.9941222404097685
fold_2,2171,exp016_static_strict_oof_proxy,momentum,0.15,20,226,0.07135183866642214,0.08728691488623419,0.01593507621981205,0.9853865592606122
fold_2,2171,exp016_static_strict_oof_proxy,shuffled,0.05,20,226,0.07135183866642214,0.0732659327071925,0.0019140940407703644,0.9986656134627266
fold_2,2171,exp016_static_strict_oof_proxy,shuffled,0.1,20,226,0.07135183866642214,0.07459506606687513,0.0032432274004529915,0.9941070044755126
fold_2,2171,exp016_static_strict_oof_proxy,shuffled,0.15,20,226,0.07135183866642214,0.0763027164708521,0.0049508778044299595,0.985469704848145
fold_2,2172,exp016_static_strict_oof_proxy,momentum,0.05,20,227,0.06216600183299328,0.060813823391279255,-0.001352178441714022,0.9986444073401253
fold_2,2172,exp016_static_strict_oof_proxy,momentum,0.1,20,227,0.06216600183299328,0.05980541319055893,-0.0023605886424343456,0.9940694312951196
fold_2,2172,exp016_static_strict_oof_proxy,momentum,0.15,20,227,0.06216600183299328,0.058362607899103955,-0.003803393933889322,0.9852140068007168
fold_2,2172,exp016_static_strict_oof_proxy,shuffled,0.05,20,227,0.06216600183299328,0.06539862004300523,0.003232618210011952,0.9986568267618443
fold_2,2172,exp016_static_strict_oof_proxy,shuffled,0.1,20,227,0.06216600183299328,0.06871289595057616,0.0065468941175828785,0.994159656950377
fold_2,2172,exp016_static_strict_oof_proxy,shuffled,0.15,20,227,0.06216600183299328,0.07265024435956374,0.010484242526570466,0.9851908304593667
fold_2,2173,exp016_static_strict_oof_proxy,momentum,0.05,20,228,0.1764355562641751,0.17634412039110212,-9.143587307297585e-05,0.9986551336885872
fold_2,2173,exp016_static_strict_oof_proxy,momentum,0.1,20,228,0.1764355562641751,0.1765497502962823,0.00011419403210721768,0.9939911641906664
fold_2,2173,exp016_static_strict_oof_proxy,momentum,0.15,20,228,0.1764355562641751,0.17610950275726342,-0.0003260535069116721,0.985212092618232
fold_2,2173,exp016_static_strict_oof_proxy,shuffled,0.05,20,228,0.1764355562641751,0.1737098988048562,-0.002725657459318881,0.9986418423775999
fold_2,2173,exp016_static_strict_oof_proxy,shuffled,0.1,20,228,0.1764355562641751,0.16877495185178415,-0.007660604412390942,0.9940362614876551
fold_2,2173,exp016_static_strict_oof_proxy,shuffled,0.15,20,228,0.1764355562641751,0.1648739910260755,-0.011561565238099591,0.9852155986285236
fold_2,2174,exp016_static_strict_oof_proxy,momentum,0.05,20,229,0.1467338693707536,0.14261335510640472,-0.004120514264348896,0.998652884351915
fold_2,2174,exp016_static_strict_oof_proxy,momentum,0.1,20,229,0.1467338693707536,0.13799766734075736,-0.008736202029996254,0.9940864101998403
