window,split,time,baseline,method,baseline_ic,correction_ic,candidate_ic,delta_vs_baseline,mean_neighbor_distance,min_library_time,max_library_time,library_cutoff_exclusive
fold_3,train,2651,exp016_static_strict_oof_proxy,residual,-0.05168747893685881,-0.0883355685481457,-0.061946367938735335,-0.010258889001876527,2.0978498458862305,486,2431,2432
fold_3,train,2652,exp016_static_strict_oof_proxy,retrieval,-0.09343797166308161,-0.04963840684259537,-0.09130862092921341,0.0021293507338682044,2.136577844619751,1023,2426,2432
fold_3,train,2652,exp016_static_strict_oof_proxy,global,-0.09343797166308161,-0.04595883080042817,-0.09090492579762335,0.0025330458654582583,2.136577844619751,486,2431,2432
fold_3,train,2652,exp016_static_strict_oof_proxy,recent,-0.09343797166308161,-0.040172179307405124,-0.09051974922538715,0.002918222437694462,2.136577844619751,486,2431,2432
fold_3,train,2652,exp016_static_strict_oof_proxy,residual,-0.09343797166308161,-0.035605976160114974,-0.09547411981765164,-0.002036148154570025,2.136577844619751,486,2431,2432
fold_3,train,2653,exp016_static_strict_oof_proxy,retrieval,-0.15527540950173932,-0.08256156623139047,-0.1517875041095543,0.00348790539218502,2.2413835525512695,1209,2431,2432
fold_3,train,2653,exp016_static_strict_oof_proxy,global,-0.15527540950173932,-0.03774308511318148,-0.1474324699735387,0.007842939528200615,2.2413835525512695,486,2431,2432
fold_3,train,2653,exp016_static_strict_oof_proxy,recent,-0.15527540950173932,-0.04860619914235913,-0.14902150244075013,0.006253907060989189,2.2413835525512695,486,2431,2432
fold_3,train,2653,exp016_static_strict_oof_proxy,residual,-0.15527540950173932,-0.15964327709004378,-0.17031616836439356,-0.015040758862654241,2.2413835525512695,486,2431,2432
fold_3,train,2654,exp016_static_strict_oof_proxy,retrieval,-0.18295846598158372,-0.17266324619468937,-0.1867314192953602,-0.0037729533137764726,2.239870071411133,1276,2431,2432
fold_3,train,2654,exp016_static_strict_oof_proxy,global,-0.18295846598158372,-0.1553624689510952,-0.1844319071450569,-0.0014734411634731714,2.239870071411133,486,2431,2432
fold_3,train,2654,exp016_static_strict_oof_proxy,recent,-0.18295846598158372,-0.13132965049290032,-0.1828981379920564,6.03279895273201e-05,2.239870071411133,486,2431,2432
fold_3,train,2654,exp016_static_strict_oof_proxy,residual,-0.18295846598158372,-0.07701896961986088,-0.18891490124222782,-0.0059564352606440996,2.239870071411133,486,2431,2432
fold_3,train,2655,exp016_static_strict_oof_proxy,retrieval,-0.10635524521409043,-0.07865117179276408,-0.1070385312919316,-0.0006832860778411692,2.266252040863037,1277,2428,2432
fold_3,train,2655,exp016_static_strict_oof_proxy,global,-0.10635524521409043,-0.08285201940118209,-0.1072486633283561,-0.0008934181142656733,2.266252040863037,486,2431,2432
fold_3,train,2655,exp016_static_strict_oof_proxy,recent,-0.10635524521409043,-0.06651808558180973,-0.10594081127632707,0.0004144339377633588,2.266252040863037,486,2431,2432
fold_3,train,2655,exp016_static_strict_oof_proxy,residual,-0.10635524521409043,0.00456904672193206,-0.10560162532218555,0.0007536198919048803,2.266252040863037,486,2431,2432
fold_3,train,2656,exp016_static_strict_oof_proxy,retrieval,-0.0951622464724697,-0.10846760944327753,-0.09993610827202512,-0.004773861799555426,2.4542064666748047,977,2426,2432
fold_3,train,2656,exp016_static_strict_oof_proxy,global,-0.0951622464724697,-0.10500096042208283,-0.09892655458619816,-0.003764308113728465,2.4542064666748047,486,2431,2432
fold_3,train,2656,exp016_static_strict_oof_proxy,recent,-0.0951622464724697,-0.08375692953513375,-0.09751649464962882,-0.002354248177159124,2.4542064666748047,486,2431,2432
fold_3,train,2656,exp016_static_strict_oof_proxy,residual,-0.0951622464724697,-0.028874344969743046,-0.09653659318865002,-0.001374346716180322,2.4542064666748047,486,2431,2432
