linear_weight,tcn_weight,lgbm_weight,first_half_rank_ic,second_half_rank_ic,full_rank_ic,plateau_max_delta,beats_first_half_single,beats_second_half_single,second_half_above_0_093940,stable_plateau,passes_all_gates
0.3,0.55,0.15,0.10994137542229195,0.0912175912741283,0.10061800965304174,0.0014853073723778004,True,True,False,False,False
0.55,0.3,0.15,0.10814228963137833,0.0930310953978592,0.1006177855068688,0.0017463956376375933,True,True,False,False,False
0.5,0.25,0.25,0.1076816329553541,0.09343214984466651,0.10058621132410638,0.0018260048008212765,True,True,False,False,False
0.45,0.5,0.05,0.10947696550216654,0.09153258903324216,0.10054169985303137,0.0007298855928686843,True,True,False,True,False
0.3,0.45,0.25,0.10912030019968945,0.09180200429581749,0.10049678660146512,0.0025236087827608528,True,True,False,False,False
0.55,0.35,0.1,0.10837475848733492,0.09253686330150987,0.10048839915612164,0.002117386057074719,True,True,False,False,False
0.4,0.55,0.05,0.10974749694291008,0.09113896083067041,0.10048151805574548,0.0007876723374366235,True,True,False,True,False
0.55,0.25,0.2,0.10760096211796974,0.09328191581275139,0.10047090202360175,0.0016590071038149051,True,True,False,False,False
0.5,0.45,0.05,0.10900813761357209,0.09178157557284489,0.10043030219411533,0.0008388881990667729,True,True,False,True,False
0.4,0.3,0.3,0.107852911459909,0.09291808522480385,0.10041622843749039,0.0024617016953940446,True,True,False,False,False
0.35,0.35,0.3,0.10816749447925443,0.09242891179753858,0.10033058705337947,0.002807543233899007,True,True,False,False,False
0.3,0.6,0.1,0.10991796155565364,0.09065157542713526,0.10032441126120623,0.001284103901168232,True,True,False,False,False
0.45,0.25,0.3,0.1072738506956569,0.09318158884899672,0.1002567161958796,0.0024167039276539043,True,True,False,False,False
0.35,0.6,0.05,0.1097906667471888,0.09061078792571617,0.1002401921076901,0.0009547507695602808,True,True,False,True,False
0.55,0.4,0.05,0.1082988708123009,0.09184930512100709,0.10010793480964018,0.001236544940408979,True,True,False,False,False
0.25,0.55,0.2,0.10936888531237518,0.09072617999766897,0.10008589213097825,0.002280489409741973,True,True,False,False,False
0.25,0.6,0.15,0.10961218616405936,0.09036832978713628,0.10002985438789601,0.001793085614471765,True,True,False,False,False
0.3,0.4,0.3,0.10820060865035601,0.09174688988705196,0.10000760465710584,0.0031068643886768277,True,True,False,False,False
0.55,0.2,0.25,0.10667691646833283,0.093280474565476,0.10000626021217779,0.001942787356995282,True,True,False,False,False
0.6,0.25,0.15,0.10709272527885412,0.09278973291582772,0.09997065912277925,0.0019901310745522593,True,True,False,False,False
0.6,0.3,0.1,0.10738243970445614,0.0923661571366968,0.09990519612133318,0.0023561990933817917,True,True,False,False,False
0.25,0.5,0.25,0.10883105945620747,0.09089960137135855,0.09990222641807281,0.0028044989505243145,True,True,False,False,False
0.5,0.2,0.3,0.10645088321387193,0.09320906760007955,0.09985722194116049,0.002543627451723443,True,True,False,False,False
0.45,0.55,0.0,0.10901805811103105,0.09061419589936894,0.09985399503444208,0.0011781979311020208,True,True,False,False,False
0.3,0.65,0.05,0.10964513405648389,0.08995209488061354,0.09983913512528919,0.0012467058445662649,True,True,False,False,False
0.4,0.6,0.0,0.10923996214050208,0.0902249958949519,0.09977160446267667,0.001215513133455956,True,True,False,False,False
0.5,0.5,0.0,0.10857940895294659,0.09088665029151334,0.09976943447544277,0.001217683120689858,True,True,False,False,False
0.25,0.65,0.1,0.1095982882390973,0.08983830303680003,0.09975895404371471,0.0015600417484514378,True,True,False,False,False
0.6,0.2,0.2,0.10646340926772796,0.09297445344727084,0.09974668641062792,0.0020477274079411245,True,True,False,False,False
0.6,0.35,0.05,0.10738280837025861,0.09173785797929913,0.09959252443072734,0.0016119963825003553,True,True,False,False,False
0.35,0.65,0.0,0.10926845785616698,0.08971726922895377,0.09953309232574395,0.0012155522271040803,True,True,False,False,False
0.55,0.45,0.0,0.10794178124311336,0.0909681477505379,0.09948988966862106,0.0015423032969230366,True,True,False,False,False
0.4,0.25,0.35,0.10636974728213386,0.09249330703454149,0.09946007950452612,0.00309874190385917,True,True,False,False,False
0.25,0.45,0.3,0.10796124754160054,0.09086675631423069,0.09944917577817768,0.0033758095259154436,True,True,False,False,False
0.35,0.3,0.35,0.106750709462927,0.09204777864340795,0.09942949699724056,0.0034140238802451844,True,True,False,False,False
0.2,0.6,0.2,0.10887131420952827,0.0897215223755351,0.09933582115638763,0.0025563054870049173,True,True,False,False,False
0.2,0.65,0.15,0.10910370681645543,0.08939163085473625,0.09928822866267757,0.0020806605733355715,True,True,False,False,False
0.25,0.7,0.05,0.10931681060154515,0.08917116819650445,0.09928544133812982,0.0015024875102803564,True,True,False,False,False
0.45,0.2,0.35,0.10571020559484307,0.09269535140000361,0.09922955803280366,0.0031652417569448393,True,True,False,False,False
0.6,0.15,0.25,0.10546993222697086,0.09291141092537143,0.09921651215498102,0.002188166222763757,True,True,False,False,False
0.55,0.15,0.3,0.10536765623390802,0.09299917522910943,0.09920886528090131,0.00263872845975216,True,True,False,False,False
0.3,0.35,0.35,0.10686612783162264,0.09138788379689468,0.09915885405301324,0.0037017251400638246,True,True,False,False,False
0.3,0.7,0.0,0.10910514616666349,0.08908941536290393,0.09913846539606716,0.0011859458651390653,True,True,False,False,False
0.2,0.55,0.25,0.10832205642806153,0.089867403057668,0.09913270228066394,0.003046145442725856,True,True,False,False,False
0.65,0.25,0.1,0.10619684280398752,0.09198879462538301,0.09912205338171942,0.0025527239231345616,True,True,False,False,False
0.65,0.2,0.15,0.10581644076389449,0.09233724049111736,0.09910457560749106,0.002242451497109499,True,True,False,False,False
0.2,0.7,0.1,0.10909103139612837,0.08890651948893859,0.099040307360038,0.0017920831782815422,True,True,False,False,False
0.6,0.4,0.0,0.10708023860460958,0.09091207523739014,0.09902942474685834,0.001832194149527358,True,True,False,False,False
0.65,0.3,0.05,0.10625958520506915,0.09142213506780782,0.0988713898692312,0.0019428966811513432,True,True,False,False,False
0.65,0.15,0.2,0.10511279199663996,0.09245892431337299,0.09881189491978684,0.0023929860784039914,False,True,False,False,False
0.5,0.15,0.35,0.10481956314328945,0.09265077257584271,0.0987602065232851,0.003254472736383643,False,True,False,False,False
0.2,0.5,0.3,0.10750320557869518,0.08982079464849561,0.09869838367518016,0.0035803073153916343,True,True,False,False,False
0.25,0.4,0.35,0.10672651437914943,0.09055051166130156,0.09867179697643505,0.003945516570827909,True,True,False,False,False
0.25,0.75,0.0,0.10878720665085982,0.08835050776828125,0.09861090803031658,0.0014219427606249613,True,True,False,False,False
0.2,0.75,0.05,0.10883230037795441,0.08826793114963004,0.09859242928072293,0.001717741355494365,True,True,False,False,False
0.15,0.65,0.2,0.10820113992611538,0.08859136674897851,0.09843660266507193,0.002798823433063466,True,True,False,False,False
0.15,0.7,0.15,0.10846834694612457,0.0883047636832112,0.09842804416911832,0.0023502133782639933,True,True,False,False,False
0.65,0.35,0.0,0.10602877000524843,0.0906499689456867,0.09837101309904692,0.002117386057074719,True,True,False,False,False
0.6,0.1,0.3,0.10410246453330439,0.09256018233801831,0.0983550729875035,0.002742725378156008,False,True,False,False,False
0.15,0.6,0.25,0.10767230515442071,0.08872325275291541,0.09823676877342424,0.0032755326638002624,True,True,False,False,False
0.65,0.1,0.25,0.10404414317593098,0.09233839474422385,0.09821535486220026,0.002542967879574601,False,True,False,False,False
0.15,0.75,0.1,0.1084544884345825,0.08785857932834638,0.09819891229526327,0.0020245719117911176,True,True,False,False,False
0.7,0.2,0.1,0.10482326046646913,0.09143625821026964,0.09815730461050148,0.0027066580740117835,False,True,False,False,False
0.35,0.25,0.4,0.10491898720032404,0.09132732818389783,0.09815112406868792,0.0039771829331136654,False,True,False,False,False
0.4,0.2,0.4,0.1044827888824135,0.0917042379794007,0.09811980674552234,0.0037771732293977595,False,True,False,False,False
0.7,0.15,0.15,0.10437159501333651,0.09171445497420458,0.09806906849179345,0.0025632464011198786,False,True,False,False,False
0.55,0.1,0.35,0.10368808306036663,0.09239237826813738,0.0980634728551825,0.00334038246893896,False,True,False,False,False
0.7,0.25,0.05,0.10496881065621716,0.09093449103851793,0.09798052804822699,0.002254383837593979,False,True,False,False,False
