window,time,variant,baseline_ic,candidate_ic,delta
fold_3,2883,final,0.08871579531883493,0.08405673469226929,-0.004659060626565639
fold_3,2884,final,0.030560820423494374,0.02550446814172,-0.005056352281774375
fold_3,2885,final,0.009175287093749186,0.001713475132471291,-0.0074618119612778954
fold_3,2886,final,0.09091541062540903,0.09226420185542769,0.0013487912300186589
fold_3,2887,final,0.10972077544019627,0.10696340142176175,-0.0027573740184345247
fold_3,2888,final,0.16921551580190522,0.16749082887401526,-0.0017246869278899624
fold_3,2889,final,0.16577751467266635,0.16829583637128284,0.002518321698616488
fold_3,2890,final,0.17675961989542405,0.18169426660474142,0.00493464670931737
fold_3,2891,final,0.18541968974511672,0.1902285535673111,0.0048088638221943925
fold_3,2892,final,0.10271096054389486,0.10634601050911188,0.0036350499652170187
fold_3,2893,final,0.043040424456304543,0.048546463527342175,0.005506039071037631
fold_3,2894,final,0.04760240146070127,0.04249137855152991,-0.005111022909171363
fold_3,2895,final,0.04531918067969731,0.0457516982191677,0.00043251753947038535
fold_3,2896,final,-0.017714780785594537,-0.01771135058251428,3.4302030802561834e-06
fold_3,2897,final,0.0017757301082635564,-5.03957168631826e-05,-0.0018261258251267391
fold_3,2898,final,0.08205306551348399,0.07449346805724436,-0.007559597456239631
fold_3,2899,final,-0.01933266793256291,-0.028424041276351474,-0.009091373343788563
fold_3,2900,final,0.028047211161972892,0.024133054463248562,-0.00391415669872433
fold_3,2901,final,-0.01516985520776921,-0.02051021526008655,-0.005340360052317342
fold_3,2902,final,-0.00389014305953448,-0.013733201076293989,-0.009843058016759509
fold_3,2903,final,-0.06351270728080981,-0.07469834143728744,-0.011185634156477636
fold_3,2904,final,-0.03392543220029141,-0.03500787483526858,-0.001082442634977171
fold_3,2905,final,-0.06387781114805911,-0.06686110259131625,-0.0029832914432571384
fold_3,2906,final,-0.08933849957237618,-0.08880375459445812,0.0005347449779180558
fold_3,2907,final,-0.0670384701588055,-0.07127913913688934,-0.004240668978083839
fold_3,2908,final,-0.058925487840966545,-0.07332251277611426,-0.014397024935147718
fold_3,2909,final,-0.0328318931297021,-0.04311884342842717,-0.010286950298725075
fold_3,2910,final,0.026276080802892482,0.022609448097774074,-0.0036666327051184076
fold_3,2911,final,0.06996555656541967,0.06830278194286714,-0.0016627746225525292
fold_3,2912,final,0.026582278177602055,0.020697783329676554,-0.005884494847925501
fold_3,2913,final,-0.03738370977711359,-0.03471956970511361,0.0026641400719999778
fold_3,2914,final,-0.039159680858129,-0.04215827248847603,-0.0029985916303470264
fold_3,2915,final,-0.16620885722489595,-0.16821705144410964,-0.0020081942192136937
fold_3,2916,final,-0.09013664387357566,-0.09817609355176402,-0.008039449678188357
fold_3,2917,final,-0.06331751738113778,-0.0675053931233591,-0.00418787574222132
fold_3,2432,reference,0.08914798284195433,0.09104043666285731,0.0018924538209029867
fold_3,2433,reference,0.1785918509629641,0.17617238596161305,-0.00241946500135104
fold_3,2434,reference,0.22396502981779906,0.2273311949124558,0.003366165094656731
fold_3,2435,reference,0.13332229086727887,0.1328944323168951,-0.0004278585503837695
