window,time,baseline,method,alpha,history_w,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline,history_sections
fold_1,1468,exp016_static_strict_oof_proxy,momentum,0.1,40,0.21253995204643145,0.22817263311759103,0.015632681071159588,0.9945629270314974,9
fold_1,1468,exp016_static_strict_oof_proxy,momentum,0.15,40,0.21253995204643145,0.2363264961639743,0.023786544117542857,0.9859132469559565,9
fold_1,1468,exp016_static_strict_oof_proxy,shuffled,0.05,40,0.21253995204643145,0.210587136571305,-0.0019528154751264348,0.9986388052180712,9
fold_1,1468,exp016_static_strict_oof_proxy,shuffled,0.1,40,0.21253995204643145,0.20705601090677223,-0.005483941139659221,0.9939694488502311,9
fold_1,1468,exp016_static_strict_oof_proxy,shuffled,0.15,40,0.21253995204643145,0.20274753770768117,-0.009792414338750277,0.9852891605717363,9
fold_1,1469,exp016_static_strict_oof_proxy,momentum,0.05,10,0.25703781818351434,0.2654830421997522,0.008445224016237873,0.998864555502165,10
fold_1,1469,exp016_static_strict_oof_proxy,momentum,0.1,10,0.25703781818351434,0.2739770874481457,0.01693926926463135,0.9947243656456713,10
fold_1,1469,exp016_static_strict_oof_proxy,momentum,0.15,10,0.25703781818351434,0.2826223633905814,0.025584545207067044,0.9860351564989952,10
fold_1,1469,exp016_static_strict_oof_proxy,shuffled,0.05,10,0.25703781818351434,0.2540927214153169,-0.0029450967681974305,0.9986460306033138,10
fold_1,1469,exp016_static_strict_oof_proxy,shuffled,0.1,10,0.25703781818351434,0.24960568173520717,-0.007432136448307175,0.9940818588434793,10
fold_1,1469,exp016_static_strict_oof_proxy,shuffled,0.15,10,0.25703781818351434,0.2436933315246529,-0.013344486658861454,0.985440435211669,10
fold_1,1469,exp016_static_strict_oof_proxy,momentum,0.05,20,0.25703781818351434,0.2654830421997522,0.008445224016237873,0.998864555502165,10
fold_1,1469,exp016_static_strict_oof_proxy,momentum,0.1,20,0.25703781818351434,0.2739770874481457,0.01693926926463135,0.9947243656456713,10
fold_1,1469,exp016_static_strict_oof_proxy,momentum,0.15,20,0.25703781818351434,0.2826223633905814,0.025584545207067044,0.9860351564989952,10
fold_1,1469,exp016_static_strict_oof_proxy,shuffled,0.05,20,0.25703781818351434,0.2553974251392584,-0.00164039304425595,0.9986325778877911,10
fold_1,1469,exp016_static_strict_oof_proxy,shuffled,0.1,20,0.25703781818351434,0.25219558562555494,-0.004842232557959403,0.9940441987920092,10
fold_1,1469,exp016_static_strict_oof_proxy,shuffled,0.15,20,0.25703781818351434,0.24784361480967812,-0.009194203373836224,0.9854782828548492,10
fold_1,1469,exp016_static_strict_oof_proxy,momentum,0.05,40,0.25703781818351434,0.2654830421997522,0.008445224016237873,0.998864555502165,10
fold_1,1469,exp016_static_strict_oof_proxy,momentum,0.1,40,0.25703781818351434,0.2739770874481457,0.01693926926463135,0.9947243656456713,10
fold_1,1469,exp016_static_strict_oof_proxy,momentum,0.15,40,0.25703781818351434,0.2826223633905814,0.025584545207067044,0.9860351564989952,10
fold_1,1469,exp016_static_strict_oof_proxy,shuffled,0.05,40,0.25703781818351434,0.2574516248618928,0.00041380667837848106,0.9986413145013278,10
fold_1,1469,exp016_static_strict_oof_proxy,shuffled,0.1,40,0.25703781818351434,0.256683926132657,-0.00035389205085734066,0.9940841693650203,10
fold_1,1469,exp016_static_strict_oof_proxy,shuffled,0.15,40,0.25703781818351434,0.25409075723555463,-0.002947060947959712,0.9853681524791091,10
