test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h
3463,False,2.607038974761963,2681,3123,0.9974867000117131
3464,False,2.1680960655212402,2687,3158,0.997635587246744
3465,False,2.1587581634521484,2884,3159,0.9978823019986482
3466,False,2.0927648544311523,2850,3158,0.9975096729384434
3467,False,2.438237190246582,2682,3129,0.9975741903980936
3468,False,2.105135679244995,2787,3133,0.9978648461531537
3469,False,1.927445888519287,2784,3127,0.9978970995903078
3470,False,2.541909694671631,2789,3135,0.9980259956172078
3471,False,2.303569793701172,2965,3160,0.9980864826071217
3472,False,2.683943271636963,2779,3158,0.9976410106753564
3473,False,2.0992231369018555,2682,3125,0.9978001145955084
3474,False,2.6907787322998047,2608,3158,0.9977122693097685
3475,False,2.3035125732421875,2699,3155,0.998018747057738
3476,False,2.9083192348480225,2828,3158,0.9979694953818358
3477,False,3.147914171218872,2486,3155,0.9980302530455434
3478,False,2.4978525638580322,2915,3160,0.9974736423505098
3479,False,2.172621250152588,2874,3160,0.9976718471633044
3480,False,2.8424909114837646,2924,3160,0.9977782865669234
3481,False,3.430508613586426,2922,3156,0.9977486455346607
3482,False,2.5608386993408203,2847,3155,0.998174879503043
3483,False,1.6186261177062988,3009,3160,0.9981506418895372
3484,False,2.4893133640289307,2867,3158,0.9963486140038879
3485,False,2.1747164726257324,2831,3133,0.9982343380449812
3486,False,1.800746202468872,2945,3158,0.9982036454483505
3487,False,2.346096992492676,2779,3139,0.9980837693422482
3488,False,2.2812411785125732,2758,3127,0.9980759334653655
3489,False,2.124858856201172,2789,3158,0.9981378276790945
3490,False,2.2592437267303467,2875,3158,0.9979496306071962
3491,False,2.134695053100586,2579,3125,0.9979470635071145
3492,False,2.35823917388916,2687,3158,0.9979447481005568
3493,False,2.0731143951416016,2965,3158,0.9981731764111758
3494,False,2.372225284576416,2682,3158,0.9977735520827887
3495,False,2.6360695362091064,2421,3109,0.9965662314874847
3496,False,2.0293545722961426,2468,3123,0.9982866354026938
3497,False,2.3272552490234375,2687,3158,0.9974020647710172
3498,False,2.322486639022827,2850,3157,0.9979968370428
3499,False,1.9668161869049072,2682,3125,0.9981385366367175
3500,False,1.7637279033660889,2779,3034,0.9980138649282602
3501,False,2.3206026554107666,2687,3159,0.99700232663223
3502,False,1.8502891063690186,2787,3144,0.9976278852727571
3503,False,2.4580492973327637,2687,3158,0.9978414090472113
3504,False,2.3825690746307373,2551,2998,0.9964878275577583
3505,False,2.0881400108337402,2687,3158,0.9980271257652379
3506,False,1.8076062202453613,2836,3127,0.9979412214528817
3507,False,1.9314030408859253,2776,3133,0.9978090316162868
3508,False,1.9474022388458252,2687,3158,0.9976760839174635
3509,False,1.9486298561096191,2890,3149,0.9979647139710652
3510,False,1.8919625282287598,2687,3158,0.9980051159185581
3511,False,2.0310921669006348,2787,3133,0.9979841984358739
3512,False,1.9228343963623047,2965,3160,0.9981365219228635
3513,False,1.9795074462890625,2965,3160,0.9978555806722382
3514,False,1.9257433414459229,2687,3158,0.997941370743632
3515,False,2.022664785385132,2789,3158,0.9978544223714113
3516,False,2.307842969894409,2846,3155,0.9981117612099394
3517,False,2.3017866611480713,2875,3160,0.9977523836012687
3518,False,2.801525354385376,2630,3158,0.9953491429929949
3519,False,2.060192346572876,2875,3160,0.998005294402544
3520,False,1.9720394611358643,2875,3160,0.998065993514604
3521,False,2.890530824661255,2965,3157,0.9977619612779312
3522,False,2.065783739089966,2741,3143,0.9977662627277474
3523,False,2.1262621879577637,2615,3109,0.9980944181443132
3524,False,2.2377023696899414,2592,3109,0.997797967240924
3525,False,2.4592721462249756,2682,3129,0.998001421398952
3526,False,2.649660587310791,2591,3157,0.9978314938981151
3527,False,2.4607372283935547,2558,3022,0.9975235753483228
3528,False,2.0781004428863525,2551,3109,0.9978264405882915
3529,False,2.355473041534424,2741,3160,0.9978115118939537
3530,False,2.554279327392578,2615,3147,0.9980715149482738
3531,False,4.1595683097839355,2623,3154,0.9972932310735179
3532,False,2.532510280609131,2615,3158,0.9978233819508043
3533,False,2.6053307056427,2560,3013,0.9977854771231589
3534,False,2.048354148864746,2586,3010,0.9971508467466061
3535,False,2.151319742202759,2615,3030,0.997550220317555
3536,False,2.806004524230957,2615,3158,0.9973477649703246
3537,False,2.9284205436706543,2783,3160,0.9973457840497654
3538,False,2.7414865493774414,2608,3158,0.9976580396714134
3539,False,2.1881182193756104,2592,3022,0.997169301800233
3540,False,2.5730791091918945,2615,3158,0.9967939132651652
3541,False,2.7648239135742188,2928,3160,0.997099230290223
3542,False,2.42193865776062,2687,3158,0.9974099163604663
3543,False,2.3303730487823486,2579,3013,0.9970715129590689
3544,False,2.66581392288208,2551,3030,0.9974177372456713
3545,False,2.6427056789398193,2579,3020,0.9970999681248301
3546,False,3.2598979473114014,2608,3158,0.9973248971800281
3547,False,2.3610308170318604,2579,3013,0.9974409933428865
3548,False,2.7559080123901367,2192,3010,0.9968732156771474
3549,False,2.696711540222168,2553,3010,0.9969563435416677
3550,False,2.1367886066436768,2272,2908,0.9956978804123825
3551,False,3.4318130016326904,2515,3158,0.9971528568888338
3552,False,2.1036391258239746,2551,2908,0.9973606965938299
3553,False,2.33172345161438,1276,3010,0.9969895426139418
3554,False,2.757594585418701,2273,3010,0.9962294875261646
3555,False,1.925659418106079,2588,3022,0.9968768892571234
3556,False,2.9051291942596436,2539,3160,0.9970897587624747
3557,False,2.887769937515259,2468,2956,0.9969914066936051
3558,False,2.520655393600464,2263,2996,0.9959475782545542
3559,False,2.3011679649353027,2682,3127,0.9967435874267009
3560,False,2.6914010047912598,1243,3127,0.9971899378251934
3561,False,14.892862319946289,671,3153,0.9974849179249917
3562,False,3.8798675537109375,1233,3159,0.9968458498418972
3563,False,2.9404726028442383,2823,3160,0.9974815062837097
3564,False,2.837197780609131,2619,3158,0.9974929060261033
3565,False,3.3509035110473633,2608,3157,0.9971915986204988
3566,False,2.7181742191314697,2687,3160,0.997248552965456
