feature,feature_index,train_mean_rank_ic,train_std_rank_ic,train_positive_rate,valid_mean_rank_ic,valid_std_rank_ic,valid_positive_rate,sign_agreement,valid_psi,test_psi,max_psi,valid_outlier_rate,test_outlier_rate,audit_action
num_80,80,-0.0013215625133645623,0.04937137687293454,0.55,-0.001122961456125723,0.05642774994993089,0.48559670781893005,True,0.014764925643647097,0.019863603205172786,0.019863603205172786,0.11116598079561042,0.09677777777777778,stable_keep
num_85,85,-0.024925136933942015,0.0531465677413402,0.275,-0.017623686347446224,0.06213752475487844,0.3868312757201646,True,0.01572102917339137,0.01827748588686596,0.01827748588686596,0.11333333333333333,0.12494444444444444,stable_keep
num_38,38,-0.02511976695770139,0.11630020673946323,0.45,-0.05970009799540371,0.109521286089203,0.27983539094650206,True,0.017785909622007993,0.008891010082377332,0.017785909622007993,0.058710562414266115,0.0452,stable_keep
num_4,4,0.018439972189819447,0.08444888016002124,0.625,0.008112465878960145,0.09459646395732083,0.551440329218107,True,0.017562213326375736,0.005667441889278918,0.017562213326375736,0.09895747599451303,0.07877777777777778,stable_keep
num_0,0,-0.017275557404943343,0.10377326840597115,0.4,-0.008474726259139316,0.10647496970293023,0.49794238683127573,True,0.012205343564455589,0.0156969157926068,0.0156969157926068,0.06946502057613169,0.056433333333333335,stable_keep
num_79,79,0.008737673843545578,0.0825902710077614,0.5875,0.01068748008167128,0.06695548426915209,0.588477366255144,True,0.012559117172718754,0.005783018475687753,0.012559117172718754,0.05104252400548697,0.04995555555555556,stable_keep
num_42,42,-0.03964361609662016,0.07075577012088825,0.3375,-0.01428078643156628,0.0643864728016285,0.38271604938271603,True,0.002736194121014325,0.012172193911662427,0.012172193911662427,0.010672153635116598,0.00908888888888889,stable_keep
num_2,2,-0.009131693153092894,0.10170170978358103,0.4625,-0.03262936931925172,0.0952899728049133,0.3868312757201646,True,0.006575389591275939,0.011215705954675676,0.011215705954675676,0.08288065843621399,0.06404444444444445,stable_keep
num_1,1,0.02485313292366567,0.06773587091505355,0.6375,0.016355864176585508,0.04834327358342495,0.6666666666666666,True,0.004046254260017469,0.01101224833124134,0.01101224833124134,0.09739368998628258,0.0843,stable_keep
num_58,58,-0.036343537152284895,0.06893210971486437,0.2875,-0.014056200573801502,0.06820375415295035,0.4156378600823045,True,0.006376015603998435,0.010508604417576952,0.010508604417576952,0.019958847736625516,0.017744444444444445,stable_keep
num_12,12,-0.006205023666786834,0.06569989814896135,0.4625,-0.00784354973969652,0.0636631006300478,0.4609053497942387,True,0.010086397506955388,0.0034840087347816255,0.010086397506955388,0.02364883401920439,0.023477777777777778,stable_keep
num_3,3,0.010854867008018685,0.10086086129951506,0.6,0.038413925411994745,0.10830773691892705,0.6666666666666666,True,0.0060033529656371085,0.009750642648820612,0.009750642648820612,0.059122085048010975,0.04713333333333333,stable_keep
num_84,84,-0.021309362665322854,0.08491410830676742,0.4125,-0.03299708094361413,0.07789871298020778,0.3497942386831276,True,0.005693615314306198,0.008229877442293126,0.008229877442293126,0.09337448559670782,0.10437777777777778,stable_keep
num_64,64,-0.014144251196951022,0.07284387123583613,0.375,-0.027249827659556893,0.06820394006508296,0.345679012345679,True,0.00218695208339624,0.0051147076500136154,0.0051147076500136154,0.002962962962962963,0.001788888888888889,stable_keep
num_59,59,0.01769187269766561,0.049493964894728674,0.6,0.0004023785208763584,0.042220624031709,0.5349794238683128,True,0.00332839034411718,0.00466892459979741,0.00466892459979741,0.040973936899862826,0.029755555555555556,stable_keep
num_30,30,-0.018838178303644766,0.0857450247161012,0.4375,-0.011177360529687631,0.07434445034024072,0.4403292181069959,True,0.0011601001367617047,0.0007276965128058452,0.0011601001367617047,0.0,0.0,stable_keep
