test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h,rank_correlation_to_exp024b
3359,False,2.6556715965270996,2811,3160,0.997952028714266,0.9994309357355166
3360,False,2.2122068405151367,2698,3160,0.9977273694160789,0.9998075113467745
3361,False,3.143587589263916,3028,3160,0.9981771280357582,0.9998878206139572
3362,False,2.583914279937744,2521,3160,0.9975761548130518,0.9997293933953723
3363,False,1.778101921081543,3015,3160,0.9981739733235399,0.9997731754538335
3364,False,2.8747899532318115,2850,3158,0.998257239961903,0.9995228678660762
3365,False,2.082718849182129,2981,3160,0.9981729589863195,0.9997475542882863
3366,False,2.15895938873291,2846,3158,0.9980587014769005,0.9990519042185139
3367,False,4.168588161468506,2498,3142,0.9983169611503803,0.9997639592587609
3368,False,2.0373101234436035,3057,3160,0.9981784621149926,0.9997347238155383
3369,False,2.305152416229248,2894,3160,0.998012742044313,0.9995058422863038
3370,False,2.3920602798461914,2850,3160,0.998339831472781,0.9998026648763969
3371,False,1.9922840595245361,2846,3158,0.9982494610018452,0.9995527796699617
3372,False,2.119934558868408,2846,3160,0.9980553151867266,0.9997226930269439
3373,False,2.8622751235961914,2740,3158,0.9981503995495308,0.9998644509139251
3374,False,2.1055209636688232,2502,3155,0.9979091267839255,0.9993179239986438
3375,False,2.4899649620056152,2528,3155,0.9972411168945131,0.9988131126115769
3376,False,2.691218614578247,2741,3134,0.997963707827431,0.9995721361025544
3377,False,2.4851863384246826,2630,3158,0.9977428646080186,0.999332301070813
3378,False,3.9556832313537598,2516,3136,0.9978925922431169,0.9995095965794814
3379,False,2.7496531009674072,2521,3160,0.9972147569482605,0.999641978893914
3380,False,2.0653395652770996,3013,3160,0.9981037944197367,0.9998679493065592
3381,False,2.9568090438842773,2973,3160,0.9979003615666338,0.99988661173227
3382,False,4.416869640350342,2748,3159,0.9977324727993756,0.9996357956290173
3383,False,2.135768175125122,2997,3160,0.9978880661061014,0.9997207524068449
3384,False,2.3036723136901855,2846,3158,0.997955370194088,0.9994298054115706
3385,False,2.2513632774353027,2846,3158,0.9979981464355974,0.9995760462779923
3386,False,2.036024570465088,2861,3158,0.9980077110580567,0.999738064260759
3387,False,2.4866857528686523,2735,3158,0.9979888413539004,0.9993922810608873
3388,False,1.8606055974960327,2985,3158,0.9978303607663139,0.9996382651214328
3389,False,2.157773017883301,3001,3160,0.9978723300760267,0.9998388638854263
3390,False,1.8420319557189941,2981,3160,0.9980353232716956,0.9997937920282308
3391,False,2.160616874694824,2979,3160,0.9980215097807068,0.9997547032642496
3392,False,2.6181159019470215,2630,3158,0.997900731915314,0.9997107095641666
3393,False,3.5197412967681885,2880,3158,0.9978281329762375,0.9996245088974813
3394,False,2.3269078731536865,2648,3158,0.997825676808569,0.9989641253103929
3395,False,2.995955467224121,2408,3127,0.9967440929381383,0.9994650939649306
3396,False,3.1476597785949707,2408,3127,0.9949292258751758,0.9976374869055229
3397,False,2.8521318435668945,2387,3127,0.9971136561541293,0.9990013143952002
3398,False,2.9333608150482178,2534,3160,0.9974910111996435,0.9996945291033741
3399,False,2.3783411979675293,2979,3160,0.9978459255126593,0.9997658131181447
3400,False,3.156804084777832,2551,3158,0.9974000327682684,0.9996732419658504
3401,False,2.670665740966797,2539,3125,0.9972817944865142,0.9991709219309898
3402,False,2.880074977874756,2539,3125,0.9975605713411904,0.9996049225762278
3403,False,2.625229597091675,2534,3160,0.9966996390619449,0.9990491704122136
3404,False,2.204439878463745,2884,3160,0.9976262414977586,0.9997749817964522
3405,False,2.48675274848938,2687,3158,0.9974258971036714,0.9988301554747867
3406,False,2.528341770172119,2787,3160,0.9972605869075437,0.9992867260255986
3407,False,2.723616600036621,2783,3160,0.9972415835293924,0.9997875743239886
3408,False,2.8323891162872314,2615,3158,0.9974490145374773,0.9989798179955176
3409,False,2.674572229385376,2546,3109,0.9973991560557212,0.9992140702193556
3410,False,2.4332869052886963,2539,3035,0.9973563630222497,0.9996575571736144
3411,False,2.624798536300659,2438,3109,0.997161015934666,0.9991792946540565
3412,False,2.7114038467407227,2753,3159,0.9970804679203717,0.9990532055898742
3413,False,2.667940139770508,2560,3109,0.997311963126026,0.9996149100872017
